## Registros en la app Ding-connect

| Fecha               | Evento                 | Teléfono    | SKU       | Monto    | Estado                   | Ref. distribuidor        | Ref. transferencia | Respuesta                                                    |
| :------------------ | :--------------------- | :---------- | :-------- | :------- | :----------------------- | :----------------------- | :----------------- | :----------------------------------------------------------- |
| 08/05/2026 16:37:49 | dispatch_result        | 5731***8416 | F4CO61827 | 0.94 EUR | **error**                | WP-20260508163749-ZURYUL |                    | Ocultar**Recarga con error**El importe enviado estu00e1 fuera del rango permitido para este SKU (ParameterOutOfRange). Verifica los rangos del catu00e1logo y refresca los bundles del plugin.**Ref. distribuidor:** WP-20260508163749-ZURYULOcultar detalle técnico`{    "attempt": 5,    "message": "El importe enviado estu00e1 fuera del rango permitido para este SKU (ParameterOutOfRange). Verifica los rangos del catu00e1logo y refresca los bundles del plugin.",    "http_status": 400,    "ding_error_code": "ParameterOutOfRange",    "ding_error_context": "SendValue",    "scheduled_retry": false }` |
| 08/05/2026 16:37:49 | transfer_dispatch      | 5731***8416 | F4CO61827 | 0.94 EUR | **ParameterOutOfRange**  | WP-20260508163749-ZURYUL |                    | Ocultar**Respuesta recibida**Se recibió respuesta del proveedor para esta operación.**Ref. distribuidor:** WP-20260508163749-ZURYULOcultar detalle técnico`{    "error_code": "dc_http_error",    "error_message": "El importe enviado estu00e1 fuera del rango permitido para este SKU (ParameterOutOfRange). Verifica los rangos del catu00e1logo y refresca los bundles del plugin.",    "error_data": {        "status": 400,        "ding_error_code": "ParameterOutOfRange",        "ding_error_context": "SendValue",        "transfer_ref": "",        "distributor_ref": "",        "processing_state": "Failed",        "body": {            "TransferRecord": {                "SkuCode": "F4CO61827",                "CommissionApplied": 0,                "ProcessingState": "Failed",                "AccountNumber": "573122908416"            },            "ResultCode": 4,            "ErrorCodes": [                {                    "Code": "ParameterOutOfRange",                    "Context": "SendValue"                }            ]        }    } }` |
| 08/05/2026 16:37:49 | dispatch_started       | 5731***8416 | F4CO61827 | 0.94 EUR | **pending**              |                          |                    | Ocultar**Respuesta recibida**Se recibió respuesta del proveedor para esta operación.Ocultar detalle técnico`{    "attempt": 5,    "manual": false }` |
| 08/05/2026 15:23:45 | voucher_email_sent     |             |           | 0        | **voucher_email_sent**   |                          |                    | Ocultar**Respuesta recibida**Se recibió respuesta del proveedor para esta operación.Ocultar detalle técnico`{    "order_id": 11275,    "item_id": 8165,    "voucher_hash": "90c41c6fe5f650f1de63e7d3c8f15aa13c07ce1fcaf1f0c25aad86f37c76abde",    "attempt": 1 }` |
| 08/05/2026 15:23:29 | voucher_email_queued   |             |           | 0        | **voucher_email_queued** |                          |                    | Ocultar**Respuesta recibida**Se recibió respuesta del proveedor para esta operación.Ocultar detalle técnico`{    "order_id": 11275,    "item_id": 8165,    "voucher_hash": "90c41c6fe5f650f1de63e7d3c8f15aa13c07ce1fcaf1f0c25aad86f37c76abde" }` |
| 08/05/2026 15:23:29 | dispatch_result        | 5731***8416 | F4CO50927 | 0.7 EUR  | **TransferSuccessful**   | WP-20260508152327-R1TPJG | 844144949          | Ocultar**Recarga procesada**La recarga fue aceptada por el proveedor.**Ref. transferencia:** 844144949**Ref. distribuidor:** WP-20260508152327-R1TPJGOcultar detalle técnico`{    "attempt": 1,    "status": "complete",    "status_label": "Complete",    "receive_value": 2500,    "receive_currency": "COP" }` |
| 08/05/2026 15:23:29 | voucher_generated      |             |           | 0        | **voucher_generated**    |                          |                    | Ocultar**Respuesta recibida**Se recibió respuesta del proveedor para esta operación.Ocultar detalle técnico`{    "order_id": 11275,    "item_id": 8165,    "voucher_hash": "90c41c6fe5f650f1de63e7d3c8f15aa13c07ce1fcaf1f0c25aad86f37c76abde" }` |
| 08/05/2026 15:23:29 | transfer_dispatch      | 5731***8416 | F4CO50927 | 0.7 EUR  | **unknown**              | WP-20260508152327-R1TPJG |                    | Ocultar**Respuesta recibida**Se recibió respuesta del proveedor para esta operación.**Estado de proceso:** Complete**Código de resultado:** 1**Ref. transferencia:** 844144949**Ref. distribuidor:** WP-20260508152327-R1TPJGOcultar detalle técnico`{    "TransferRecord": {        "TransferId": {            "TransferRef": "844144949",            "DistributorRef": "WP-20260508152327-R1TPJG"        },        "SkuCode": "F4CO50927",        "Price": {            "CustomerFee": 0,            "DistributorFee": 0,            "ReceiveValue": 2500,            "ReceiveCurrencyIso": "COP",            "ReceiveValueExcludingTax": 2500,            "TaxRate": 0,            "SendValue": 0.7,            "SendCurrencyIso": "EUR"        },        "CommissionApplied": 0.1,        "StartedUtc": "2026-05-08T15:23:28Z",        "CompletedUtc": "2026-05-08T15:23:29Z",        "ProcessingState": "Complete",        "ReceiptParams": {            "providerRef": "V260508.1023.240131"        },        "AccountNumber": "573122908416"    },    "ResultCode": 1,    "ErrorCodes": [] }` |
| 08/05/2026 15:23:27 | dispatch_started       | 5731***8416 | F4CO50927 | 0.7 EUR  | **pending**              |                          |                    | Ocultar**Respuesta recibida**Se recibió respuesta del proveedor para esta operación.Ocultar detalle técnico`{    "attempt": 1,    "manual": false }` |
